Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1961","1961","No","37600","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1962","1962","No","37700","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1963","1963","No","37800","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1964","1964","No","37900","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1965","1965","No","38000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1966","1966","No","38100","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1967","1967","No","38200","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1968","1968","No","38300","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1969","1969","No","38400","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1970","1970","No","38500","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1971","1971","No","38600","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1972","1972","No","38700","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1973","1973","No","38700","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1974","1974","No","38737","","Official data"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1975","1975","No","38800","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1976","1976","No","38800","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1977","1977","No","38800","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1978","1978","No","37500","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1979","1979","No","37500","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1980","1980","No","32500","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1981","1981","No","27500","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1982","1982","No","25000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1983","1983","No","37500","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1984","1984","No","42500","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1985","1985","No","45000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1986","1986","No","47000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1987","1987","No","49000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1988","1988","No","51000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1989","1989","No","53000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1990","1990","No","55000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1991","1991","No","57000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1992","1992","No","59000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1993","1993","No","61000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1994","1994","No","63000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1995","1995","No","65000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1996","1996","No","67000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1997","1997","No","69000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1998","1998","No","71000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","1999","1999","No","73000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2000","2000","No","75000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2001","2001","No","75000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2002","2002","No","75000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2003","2003","No","75000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2004","2004","No","75000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2005","2005","No","75000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2006","2006","No","75000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2007","2007","No","76000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2008","2008","No","76500","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2009","2009","No","77000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2010","2010","No","77800","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2011","2011","No","78000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2012","2012","No","78300","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2013","2013","No","78500","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2014","2014","No","79000","F","FAO estimate"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2015","2015","No","79508","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2016","2016","No","80280","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2017","2017","No","80775","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","226","Uganda","5314","Prod Popultn","1183","Beeswax","2018","2018","No","81271","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1961","1961","hg","128","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1962","1962","hg","127","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1963","1963","hg","127","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1964","1964","hg","128","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1965","1965","hg","128","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1966","1966","hg","129","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1967","1967","hg","128","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1968","1968","hg","128","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1969","1969","hg","128","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1970","1970","hg","127","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1971","1971","hg","130","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1972","1972","hg","129","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1973","1973","hg","129","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1974","1974","hg","129","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1975","1975","hg","108","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1976","1976","hg","88","Fc","Calculated data"
"QL","Livestock Primary","226","Uganda","5422","Yield","1183","Beeswax","1977","1977","hg","175","Fc","Calculated data"
