Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1961","1961","ha","50000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1962","1962","ha","50000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1963","1963","ha","50000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1964","1964","ha","50000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1965","1965","ha","50000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1966","1966","ha","52100","*","Unofficial figure"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1967","1967","ha","69900","*","Unofficial figure"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1968","1968","ha","88900","*","Unofficial figure"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1969","1969","ha","82000","*","Unofficial figure"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1970","1970","ha","142500","*","Unofficial figure"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1971","1971","ha","108400","*","Unofficial figure"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1972","1972","ha","124900","*","Unofficial figure"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1973","1973","ha","100000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1974","1974","ha","100000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1975","1975","ha","100000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1976","1976","ha","100000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1977","1977","ha","100000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1978","1978","ha","100000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1979","1979","ha","102000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1980","1980","ha","102000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1981","1981","ha","102000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1982","1982","ha","102000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1983","1983","ha","102000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1984","1984","ha","102000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1985","1985","ha","104000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1986","1986","ha","105000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1987","1987","ha","106000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1988","1988","ha","109000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1989","1989","ha","111000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1990","1990","ha","118000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1991","1991","ha","123000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1992","1992","ha","120000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1993","1993","ha","118000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1994","1994","ha","120000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1995","1995","ha","124799","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1996","1996","ha","130000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1997","1997","ha","129311","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1998","1998","ha","130397","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","1999","1999","ha","131861","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2000","2000","ha","135000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2001","2001","ha","135078","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2002","2002","ha","136705","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2003","2003","ha","137027","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2004","2004","ha","137905","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2005","2005","ha","137837","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2006","2006","ha","138282","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2007","2007","ha","142890","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2008","2008","ha","141621","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2009","2009","ha","140964","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2010","2010","ha","143000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2011","2011","ha","140000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2012","2012","ha","130000","F","FAO estimate"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2013","2013","ha","131489","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2014","2014","ha","131812","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2015","2015","ha","131849","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2016","2016","ha","130108","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2017","2017","ha","128866","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5312","Area harvested","486","Bananas","2018","2018","ha","127614","Im","FAO data based on imputation methodology"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1961","1961","hg/ha","40000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1962","1962","hg/ha","40000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1963","1963","hg/ha","40000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1964","1964","hg/ha","40000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1965","1965","hg/ha","40000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1966","1966","hg/ha","45106","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1967","1967","hg/ha","45064","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1968","1968","hg/ha","36895","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1969","1969","hg/ha","40244","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1970","1970","hg/ha","23298","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1971","1971","hg/ha","25830","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1972","1972","hg/ha","24019","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1973","1973","hg/ha","31000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1974","1974","hg/ha","32000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1975","1975","hg/ha","33000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1976","1976","hg/ha","34000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1977","1977","hg/ha","35000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1978","1978","hg/ha","36000","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1979","1979","hg/ha","35294","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1980","1980","hg/ha","36176","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1981","1981","hg/ha","36275","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1982","1982","hg/ha","39216","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1983","1983","hg/ha","40196","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1984","1984","hg/ha","39216","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1985","1985","hg/ha","41346","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1986","1986","hg/ha","41905","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1987","1987","hg/ha","43396","Fc","Calculated data"
"QC","Crops","226","Uganda","5419","Yield","486","Bananas","1988","1988","hg/ha","44037","Fc","Calculated data"
