DISTRICT	Plantain Bananas	Finger millet	Maize	Sorghum	Rice	Sweet Potatoes	Irish Potatoes	Cassava
KALANGALA	529	0	144	2	0	556	0	1111
KAMPALA	686	0	137	0	0	112	1	184
KAYUNGA	7977	891	17263	121	752	8129	72	14386
KIBOGA	22199	635	25476	89	57	4456	682	8294
LUWERO	16175	142	8284	14	149	7449	132	11638
LYANTONDE	7065	608	3003	38	0	611	207	1037
MASAKA	75216	163	21798	251	0	6141	64	7720
MITYANA	25560	0	10370	42	0	7722	619	10104
MPIGI	30529	76	9083	188	116	10583	799	13080
MUBENDE	46041	242	41495	206	0	9806	977	12603
MUKONO	17048	669	16776	104	1065	14817	0	15430
NAKASEKE	8872	216	4329	11	50	2965	18	4696
NAKASONGOLA	475	1053	6748	4	0	8516	0	10346
RAKAI	29168	282	8890	679	0	2062	967	3396
SSEMBABULE	23834	857	9771	271	0	2621	83	2385
WAKISO	14714	0	5566	238	449	11508	179	11378
AMURIA	23	3819	2798	14699	613	6173	0	15641
BUDAKA	686	1973	5029	2054	749	2531	0	11849
BUDUDA	3534	*	1389	0	0	271	18	1135
BUGIRI	5955	1900	59404	2306	5853	7169	*	25568
BUKEDEA	382	3566	6614	3336	392	579	0	9441
BUKWO	786	90	12394	0	0	338	126	50
BUSIA	305	1942	17527	3386	1438	5174	0	15137
BUTALEJA	1262	7931	10420	2641	1761	4286	0	11368
IGANGA	5992	840	49333	244	3676	22150	0	14350
JINJA	4595	635	12091	161	746	6316	0	5096
KABERAMAIDO	176	5120	7691	11173	111	3549	0	10982
KALIRO	1729	5865	18837	466	2555	9135	0	10070
KAMULI	12885	7276	67120	471	1839	33853	0	41136
KAPCHORWA	3299	0	6074	0	0	89	639	413
KATAKWI	0	4236	883	17169	105	5014	0	12051
KUMI	201	3931	4715	10281	472	6934	0	18082
MANAFWA	8230	668	6427	112	0	2409	1	2956
MAYUGE	4204	966	17149	247	2566	7260	0	10287
MBALE	2896	2172	12916	370	1358	943	283	4710
NAMUTUMBA	2912	1721	17447	335	1583	8538	0	12869
PALLISA	634	9947	20263	6584	6247	8625	0	48738
SIRONKO	6482	158	5645	24	180	634	57	2213
SOROTI	0	10430	15439	18087	2017	12744	0	30951
TORORO	2334	11725	11158	7500	1773	5232	146	27294
ABIM	0	356	644	824	0	415	0	163
ADJUMANI	110	819	10654	3754	534	6032	0	8648
AMOLATAR	207	5016	5731	1180	0	1256	0	7865
AMURU	0	8073	6259	8825	7771	4444	0	7992
APAC	1498	9969	52269	3119	514	3864	0	42836
ARUA	1302	5168	6663	9094	231	5137	75	28326
DOKOLO	109	7742	15428	5309	595	2967	0	8918
GULU	186	7868	7533	7382	2941	3028	0	10964
KAABONG	0	2146	9975	15894	0	42	0	700
KITGUM	89	15437	9656	24746	659	2267	0	6747
KOBOKO	936	254	3341	1747	358	1244	0	6930
KOTIDO	0	4620	8052	19313	0	0	0	0
LIRA	883	19682	21002	19448	6703	3769	48	17417
MOROTO	0	161	3755	14290	0	79	0	0
MOYO	133	140	5830	3093	54	4144	0	5367
NAKAPIRIPIRIT	60	319	16505	67085	0	387	0	287
NEBBI	2882	352	12698	3545	148	2172	354	45342
NYADRI	82	1166	6207	7373	684	4279	0	25085
OYAM	435	5634	20910	3662	1104	3748	117	20083
PADER	106	9607	13161	22404	3036	4172	0	6442
YUMBE	176	1128	11507	7245	581	7128	0	19773
BULIISA	177	10	1790	165	0	217	0	5596
BUNDIBUGYO	5175	0	1175	18	110	1168	171	7784
BUSHENYI	113114	5761	3100	3522	0	18547	254	9081
HOIMA	5484	1790	10166	284	5919	5908	563	14552
IBANDA	16324	3279	4532	588	31	1648	343	2360
ISINGIRO	45941	2974	6291	3077	0	1419	1872	1392
KABALE	10886	204	5870	13073	0	9827	8435	95
KABAROLE	28095	530	11144	766	37	3693	1276	7322
KAMWENGE	16371	2110	18071	2573	127	3243	1193	4879
KANUNGU	15101	3189	3462	2468	566	4289	523	1523
KASESE	25228	95	8939	134	50	1740	309	15855
KIBAALE	19108	865	21468	1228	1762	7719	1974	13687
KIRUHURA	23547	2139	3677	139	0	694	23	1375
KISORO	5634	166	3560	3818	0	4524	2675	238
KYENJOJO	28022	3255	19559	747	0	21701	5389	17885
MASINDI	4172	1267	52142	415	1070	6445	391	21082
MBARARA	32584	1975	836	295	0	922	30	1032
NTUNGAMO	94542	18388	10766	11769	0	23042	171	4117
RUKUNGIRI	21593	3591	2035	940	831	4933	504	1472
SUB-TOTAL	511098	51588	188583	46019	10503	121679	26096	131327
